"ID","XCOO","YCOO","ELEV","COUN","ASP","TOPC","LITO","Ag","Ag_INAA","Al","Al_XRF","Al2O3","As","As_INAA","Au","Au_INAA","B","Ba","Ba_INAA","Be","Bi","Br_IC","Br_INAA","Ca","Ca_INAA","Ca_XRF","CaO","Cd","Ce_INAA","Cl_IC","Co","Co_INAA","Cr","Cr_INAA","Cs_INAA","Cu","EC","Eu_INAA","F_IC","Fe","Fe_INAA","Fe_XRF","Fe2O3","Hf_INAA","Hg","Hg_INAA","Ir_INAA","K","K_XRF","K2O","La","La_INAA","Li","LOI","Lu_INAA","Mg","Mg_XRF","MgO","Mn","Mn_XRF","MnO","Mo","Mo_INAA","Na","Na_INAA","Na_XRF","Na2O","Nd_INAA","Ni","Ni_INAA","NO3_IC","P","P_XRF","P2O5","Pb","Pd","pH","PO4_IC","Pt","Rb","S","Sb","Sb_INAA","Sc","Sc_INAA","Se","Se_INAA","Si","Si_XRF","SiO2","Sm_INAA","Sn_INAA","SO4_IC","Sr","Sr_INAA","Ta_INAA","Tb_INAA","Te","Th","Th_INAA","Ti","Ti_XRF","TiO2","U_INAA","V","W_INAA","Y","Yb_INAA","Zn","Zn_INAA"
199,755941,7600000,190,"RUS","E",25,20,0.004,2.5,3540,74500,14.09,0.05,0.25,0.22681,0.001,1.5,17.4,420,0.07,0.011,0.001,0.25,1750,30000,29800,4.18,0.01,21,0.001,3.8,11,13.2,94,0.5,6.1,0.33,0.7,0.0005,7310,26500,27400,3.93,3,0.01,0.5,0.0025,600,8300,1.01,7.3,11,2.5,0.59,0.24,1370,10300,1.71,51.9,460,0.06,0.1,0.5,150,33800,27300,3.68,10,10.1,10,0.0005,395,300,0.07,0.6,0.42035,5.9,0.002,0.25,29,12,0.005,0.2,0.9,13,0.027,1.5,130,327200,70.01,2.1,50,4,4.6,250,0.25,0.25,0.008,3,2.2,294,1790,0.3,0.25,16.5,0.5,2.1,1.6,6.2,25
200,735487,7500000,180,"RUS","NE",40,1,0.02,2.5,12600,69300,13.1,0.3,0.25,0.66752,0.002,3,19.4,350,0.28,0.03,0.001,5.1,1620,30000,20200,2.84,0.012,42,0.002,4.2,9,21.3,110,0.5,22.2,0.68,0.7,0.0005,11500,25300,21400,3.06,3,0.03,0.5,0.0025,600,14300,1.73,17.1,17,10.1,3.37,0.19,2000,7100,1.19,65.9,300,0.04,0.1,0.5,120,28600,25000,3.38,12,19.3,10,0.0012,284,210,0.05,1.1,0.94967,5.8,0.002,1.10603,54,81,0.005,0.2,1.6,9.3,0.118,1.5,360,322600,69.03,2.6,50,10,4.5,250,0.25,0.5,0.008,7,3.7,487,1490,0.25,0.25,22,0.5,9.1,1.2,13.9,25
201,701808,7710000,140,"RUS","FLAT",39,21,0.036,2.5,7520,72800,13.76,1.3,0.25,0.84883,0.002,1.5,39.6,610,0.25,0.065,0.001,4.6,1610,20000,13800,1.94,0.016,58,0.001,5.1,6,25,48,0.5,17.6,0.51,1,0.0005,11600,20600,20100,2.88,6,0.02,0.5,0.0025,1700,19500,2.36,21.2,32,10.1,1.05,0.25,3400,5700,0.96,92.6,300,0.04,0.3,0.5,160,29300,25300,3.42,22,14.4,10,0.0005,364,390,0.09,1.7,0.78457,5.8,0.002,0.66394,91,24,0.005,0.05,2.6,9.4,0.1,1.5,140,339000,72.54,3.9,50,5,5.5,250,0.25,0.25,0.014,11,9.7,715,1970,0.33,0.25,27.8,0.5,4.5,1.5,18.4,25
202,817032,7640000,250,"RUS","FLAT",50,4,0.008,2.5,7270,77100,14.58,0.2,0.25,0.55647,0.001,1.5,35.5,460,0.16,0.018,0.001,0.25,1190,20000,20200,2.84,0.018,42,0.001,5.6,9,19,72,0.5,9.7,0.39,0.8,0.0005,11700,22700,20400,2.93,5,0.01,0.5,0.0025,2100,14400,1.74,11.2,25,13.6,1.15,0.19,2950,6800,1.14,111,300,0.04,0.1,0.5,90,37300,30700,4.14,16,13,45,0.0005,276,260,0.06,1,0.27825,6.1,0.002,0.58106,41,15,0.005,0.05,1.7,9.2,0.025,1.5,150,331500,70.94,3.4,50,1,6.3,250,0.25,0.25,0.0015,5,7.8,780,2030,0.34,1.8,23.5,0.5,2.8,1.1,23.9,50
203,634126,7710000,100,"RUS","S",48,52,0.01,2.5,19900,77800,14.71,0.9,0.25,2.12502,0.001,1.5,54.8,400,0.37,0.025,0.001,11,5000,30000,27800,3.9,0.036,55,0.004,16.7,22,52.4,100,1,57.5,0.65,1.4,0.0005,37800,53800,53500,7.65,6,0.03,0.5,0.0025,2200,12000,1.45,16.1,27,10.7,2.8,0.44,13600,20600,3.43,451,850,0.11,0.1,0.5,340,27500,24000,3.24,27,28.9,10,0.0011,642,690,0.16,0.8,1.97448,6,0.002,1.5808,47,40,0.005,0.05,7.4,25,0.067,1.5,180,287600,61.54,4.9,50,13,15.6,250,0.25,0.25,0.004,8,4.9,1910,4850,0.81,0.25,82.3,0.5,8.1,2.8,41.9,102
204,507247,7610000,210,"FIN","W",32,31,0.015,2.5,23200,76600,14.49,1.2,0.25,2.20683,0.001,1.5,96.4,830,0.91,0.025,0.001,0.25,490,5000,9000,1.27,0.027,79,0.003,8.7,13,37.1,96,0.5,24.8,0.66,1.4,0.0005,20300,38700,39000,5.58,7,0.03,0.5,0.0025,1400,20900,2.52,18,41,8,3.14,0.44,3810,10000,1.67,121,380,0.05,0.3,0.5,90,13300,11400,1.54,28,28.1,10,0.0005,156,260,0.06,1.7,0.64173,5.9,0.002,0.25,67,47,0.005,0.05,5,16,0.195,1.5,140,321300,68.76,5.1,50,16,6.9,250,0.8,0.25,0.021,11,11,900,3950,0.66,0.25,44.6,0.5,5.8,2.5,30.2,99
205,417034,7480000,193,"FIN","SW",42,7,0.004,2.5,10300,66200,12.52,1.6,0.25,0.61612,0.003,1.5,37.9,520,0.31,0.036,0.001,0.25,1620,30000,20500,2.88,0.015,37,0.003,6.4,13,55.4,140,0.5,15.9,0.41,0.9,0.0005,17300,35900,34900,4.99,5,0.02,0.5,0.0025,600,14800,1.79,12.8,20,6.2,1.81,0.27,3920,12200,2.03,110,460,0.06,0.1,0.5,130,28500,25000,3.38,16,17.7,95,0.0005,296,300,0.07,1,0.79046,6.1,0.002,0.74824,66,15,0.03,0.3,3.2,16,0.064,1.5,140,323400,69.2,2.9,50,5,7,250,0.7,0.25,0.007,8,6.5,1210,4370,0.73,1.2,44,0.5,4.3,2.2,13.6,25
206,540733,7520000,265,"FIN","FLAT",42,1,0.003,2.5,12900,65300,12.35,0.6,1.8,0.80467,0.004,1.5,57.1,530,0.4,0.041,0.001,2.8,970,30000,16100,2.26,0.017,46,0.004,8.5,16,73.5,210,0.5,24.1,0.42,0.9,0.0005,20400,40700,39800,5.7,5,0.01,0.5,0.0025,1400,15400,1.86,16.4,25,6.8,2.23,0.31,3970,12900,2.15,127,460,0.06,0.1,0.5,100,19200,17200,2.32,18,26,10,0.0005,188,210,0.05,0.9,1.91979,5.9,0.002,1.28814,55,23,0.005,0.2,4.4,16,0.058,1.5,150,330900,70.81,3.4,50,7,4.5,250,0.25,0.6,0.007,8,6.2,923,4010,0.67,0.25,49.4,0.5,5.2,2,14.9,76
207,552579,7600000,195,"FIN","SE",37,31,0.009,2.5,11500,85200,16.11,0.5,0.25,3.15319,0.013,1.5,79.3,760,0.21,0.014,0.001,7.8,630,5000,9200,1.3,0.029,95,0.001,9,16,25.5,130,0.5,22.4,0.61,1.6,0.0005,16600,55500,50200,7.19,8,0.01,0.5,0.0025,2000,18900,2.28,19.2,53,5.4,1.29,0.71,4570,14900,2.48,124,540,0.07,0.1,0.5,110,11900,9800,1.33,34,24.5,10,0.0005,189,260,0.06,1.4,0.62577,6.8,0.002,0.89018,71,32,0.005,0.2,3.3,22,0.105,1.5,210,309700,66.27,6.8,50,10,4.6,250,0.25,1.2,0.026,10,12,617,4670,0.78,0.25,31.6,0.5,4,4.8,28.1,124
208,392650,7760000,350,"NOR","FLAT",25,10,0.005,2.5,4370,59600,11.27,0.4,0.25,0.61292,0.001,1.5,19,530,0.16,0.02,0.001,2.5,1670,20000,16000,2.25,0.007,34,0.001,3.9,8,29,79,0.5,10,0.23,0.9,0.0005,8730,21500,18700,2.68,6,0.01,0.5,0.0025,600,13600,1.65,10,17,5.4,0.92,0.19,2330,6000,1,120,300,0.04,0.1,0.5,100,27700,25100,3.39,15,8.1,10,0.0005,310,300,0.07,0.9,1.45195,6.1,0.002,0.25,40,11,0.005,0.05,1.4,7.7,0.025,1.5,120,348500,74.58,2.5,50,1,6.8,250,0.25,0.25,0.004,3,2.9,535,2330,0.39,0.25,15.5,0.5,3.6,1.3,8.5,25
211,567073,7660000,160,"FIN","W",37,20,0.009,2.5,14600,79000,14.94,0.4,0.25,1.3912,0.005,1.5,81.4,760,0.35,0.025,0.001,0.25,4590,20000,28300,3.97,0.025,65,0.001,11.4,21,44.9,120,0.5,66.4,0.35,1.5,0.0005,23800,53200,49100,7.03,6,0.01,0.5,0.0025,1700,13900,1.68,24.4,40,16.8,2.04,0.44,8670,18300,3.05,279,770,0.1,0.1,0.5,300,24400,23500,3.17,25,28.5,10,0.0005,514,560,0.13,1.7,2.66977,6.7,0.002,0.84703,50,20,0.005,0.05,5,18,0.041,1.5,130,295900,63.32,4.7,50,1,18.8,250,0.25,0.25,0.008,8,6.4,1610,4670,0.78,0.25,54,0.5,6.7,2.4,41.5,118
212,530080,7800000,220,"NOR","FLAT",33,10,0.016,2.5,20900,90800,17.16,1.8,4.4,4.74759,0.006,3,29.8,660,0.72,0.15,0.001,11,1510,5000,5700,0.8,0.046,110,0.001,22.9,25,55.5,130,3,30.5,0.44,1.9,0.0005,49000,58100,53900,7.71,9,0.02,0.5,0.0025,700,26800,3.24,30.5,60,42.1,4.45,0.67,13100,16400,2.72,737,850,0.11,0.1,0.5,70,17700,16000,2.16,46,55.2,73,0.0005,561,560,0.13,7.3,1.24902,5.4,0.002,0.25,150,50,0.058,0.05,4.3,17,0.098,1.5,350,282400,60.42,7.2,50,11,7.7,250,0.25,1.2,0.027,18,16,804,5750,0.96,4.6,41.4,0.5,13,4.4,93.3,111
213,405450,7750000,460,"NOR","FLAT",58,51,0.005,2.5,11800,56700,10.72,0.8,0.25,2.09763,0.001,1.5,31.5,210,0.49,0.07,0.001,3.2,300,5000,17300,2.43,0.014,43,0.001,10.9,14,50.3,100,2,14.7,0.44,0.8,0.0005,21300,35800,26800,3.84,5,0.02,0.5,0.0025,1300,14300,1.73,9.8,24,16.6,3.59,0.32,7130,10400,1.74,208,380,0.05,0.1,0.5,40,10700,21700,2.93,17,27.3,10,0.0005,219,260,0.06,1.3,1.02468,5.3,0.002,4.3122,65,33,0.023,0.6,2.6,10,0.064,1.5,100,334200,71.52,2.9,50,6,2.2,250,0.25,0.25,0.011,6,6.8,317,3110,0.52,0.25,30.4,0.5,3.5,1.7,25,68
214,590200,7670000,70,"RUS","SW",32,20,0.01,2.5,5970,73200,13.84,0.2,0.25,19.2785,0.005,1.5,34.7,610,0.15,0.067,0.001,3.5,2410,20000,27100,3.8,0.019,45,0.001,5.3,16,15.2,81,1,37.1,0.25,1.3,0.0005,10100,41500,35400,5.07,5,0.01,0.5,0.0025,1000,11800,1.43,10.6,20,5.3,0.77,0.35,2680,11900,1.99,117,610,0.08,0.1,0.5,200,29700,26100,3.53,16,11.7,10,0.0005,377,430,0.1,1.2,1.01881,5.6,0.002,0.86415,57,17,0.005,0.05,2.1,15,0.039,1.5,180,321900,68.88,3,50,2,6.3,250,0.25,0.5,0.007,5,5.5,623,3050,0.51,0.25,23.9,0.5,3.3,2.2,16.9,110
216,438600,7690000,355,"NOR","FLAT",35,51,0.009,2.5,13300,71700,13.55,0.8,0.25,1.1746,0.001,1.5,58.9,710,0.39,0.038,0.001,5.3,3030,40000,31000,4.34,0.048,55,0.001,12.2,24,50.4,160,0.5,44,0.36,1.5,0.0005,21800,54700,51500,7.37,6,0.01,0.5,0.0025,2000,11700,1.42,23.9,31,8.3,2.38,0.53,5610,18800,3.13,226,850,0.11,0.1,0.5,230,24800,22800,3.08,23,31.2,10,0.0005,616,560,0.13,1.3,1.50179,5.9,0.002,1.25847,46,27,0.005,0.05,4.3,18,0.138,1.5,170,289500,61.94,4.8,50,3,14.9,250,0.25,0.25,0.007,7,6.2,1120,4910,0.82,2.2,45.4,0.5,9.2,3,32.4,139
217,525015,7380000,200,"FIN","NE",38,7,0.0005,2.5,5630,59500,11.26,0.2,0.25,13.8353,0.001,1.5,9,600,0.16,0.012,0.001,0.25,880,5000,13400,1.88,0.008,20,0.001,1.8,5,12.9,50,1,4.5,0.26,0.6,0.0005,4570,15300,13000,1.86,4,0.01,0.5,0.0025,200,20000,2.41,9.4,14,3.5,1.44,0.18,870,4400,0.73,35.2,230,0.03,0.1,0.5,60,25500,22500,3.04,12,4.9,10,0.0005,244,210,0.05,1.7,0.70673,5.7,0.002,0.6358,110,25,0.005,0.05,0.9,5.5,0.015,1.5,230,356400,76.27,1.6,50,2,2.3,250,0.25,0.25,0.0015,5,5.1,345,1910,0.32,1.2,12.8,0.5,2.8,1,4.6,25
218,513395,7710000,240,"FIN","NW",34,20,0.012,2.5,7430,75700,14.31,0.2,0.25,0.93484,0.001,1.5,48.9,630,0.16,0.0025,0.001,4,2330,30000,21200,2.98,0.016,70,0.001,3.4,13,14.1,120,0.5,7.9,0.22,1.7,0.0005,8300,49400,42300,6.05,8,0.01,0.5,0.0025,700,12700,1.53,10.9,39,2.5,0.59,0.63,2110,12900,2.14,70.7,610,0.08,0.1,0.5,360,20400,16800,2.27,30,8.8,10,0.0005,296,390,0.09,1.1,0.82414,5.9,0.002,1.11952,44,13,0.005,0.05,1.8,19,0.005,1.5,130,323500,69.22,4.6,50,1,9.6,250,0.25,1.2,0.013,5,9.3,347,3470,0.58,2.7,20.1,0.5,3.1,4.2,11.8,156
219,598000,7430000,180,"RUS","FLAT",20,52,0.003,2.5,13700,69300,13.11,0.8,0.25,1.06285,0.001,1.5,52.7,540,0.25,0.045,0.001,0.25,2320,30000,26700,3.74,0.016,42,0.001,11.9,23,123,260,0.5,36,0.26,1.1,0.0005,21900,46500,43200,6.19,6,0.01,0.5,0.0025,1600,12200,1.48,14,22,11.4,2.33,0.33,10000,23800,3.95,168,610,0.08,0.1,0.5,140,25600,24200,3.27,16,45,10,0.0005,258,300,0.07,0.7,1.1231,5.8,0.002,1.06457,54,13,0.014,0.05,3.5,16,0.02,1.5,110,294900,63.11,3.3,50,1,10.8,250,0.25,0.8,0.009,6,5,1260,4370,0.73,0.25,46.3,0.5,4.8,2,24.3,75
220,639150,7740000,110,"NOR","SW",45,20,0.01,2.5,12400,76300,14.42,0.7,0.25,0.87521,0.001,1.5,73.3,650,0.89,0.02,0.001,0.25,2810,20000,20900,2.93,0.058,60,0.002,11.7,18,47.3,96,0.5,44.8,0.34,1.5,0.0005,20300,40100,36200,5.19,5,0.01,0.5,0.0025,2100,19000,2.3,14.4,35,12,1.48,0.27,7310,13200,2.19,177,460,0.06,0.1,0.5,170,27900,25000,3.37,32,31.2,10,0.0005,429,520,0.12,6.1,1.93152,6.6,0.002,0.25,69,17,0.005,0.05,3.3,14,0.028,1.5,130,311700,66.69,4.7,50,5,11.6,250,0.25,0.25,0.019,8,8.9,1280,3830,0.64,0.25,50,0.5,4.7,1.7,50.4,127
221,405250,7820000,100,"NOR","S",40,10,0.032,2.5,9310,54900,10.39,1.3,2.2,0.33475,0.004,1.5,36.6,690,0.22,0.053,0.001,9.8,1220,10000,9700,1.36,0.026,61,0.001,5,8,13.2,40,2,8,0.5,1.2,0.0005,13300,27600,24800,3.55,8,0.01,0.5,0.0025,2200,19500,2.35,13,26,6.3,3.33,0.57,2560,4500,0.75,167,610,0.08,0.1,0.5,50,14900,13200,1.78,22,9.4,10,0.0005,357,340,0.08,5.7,0.69802,5.5,0.002,0.25,72,37,0.037,0.3,2,9,0.103,1.5,150,349800,74.85,3.7,50,8,14.2,250,0.25,0.25,0.012,9,9.4,862,3410,0.57,2.7,16.7,0.5,6,3.8,26.2,81
222,461766,7550000,250,"FIN","NW",42,1,0.021,2.5,16300,68800,13,10.6,14,1.38871,0.006,1.5,44.3,460,0.34,0.049,0.001,0.25,1630,30000,25600,3.59,0.047,36,0.003,18.8,30,80.1,170,0.5,48.4,0.29,1.1,0.0005,26200,59100,53400,7.64,4,0.04,0.5,0.0025,400,11200,1.36,9.7,15,8,3.28,0.29,7690,20900,3.47,343,850,0.11,0.1,0.5,110,23700,21100,2.85,18,42.2,10,0.0005,269,340,0.08,1,1.68014,5.7,0.002,0.25,60,28,0.088,0.05,4.7,20,0.093,1.5,120,291000,62.28,2.8,50,3,5.2,250,0.25,0.7,0.022,7,4.3,1410,6170,1.03,0.25,68.3,0.5,4.4,1.9,28.4,25
223,663863,7460000,310,"RUS","S",60,1,0.002,2.5,12200,73300,13.85,0.5,0.25,0.39973,0.001,1.5,51.3,350,0.18,0.031,0.001,3.4,1070,30000,27700,3.88,0.013,25,0.001,16.6,30,75.4,790,0.5,17.2,0.41,0.8,0.0005,18500,39900,37200,5.32,5,0.01,0.5,0.0025,1300,8200,0.99,7.9,13,12.7,2.47,0.16,8410,29600,4.91,273,690,0.09,0.1,0.5,120,25100,25000,3.37,10,120,170,0.0018,201,260,0.06,0.7,1.02608,5.9,0.002,0.57045,33,30,0.005,0.05,1.9,12,0.032,1.5,170,300900,64.39,1.8,50,2,4.8,250,0.25,0.25,0.013,5,2.8,813,2510,0.42,0.25,26.5,0.5,1.7,0.9,23.9,101
226,514044,7660000,140,"FIN","W",41,20,0.013,2.5,18200,79100,14.96,0.4,2.4,3.48165,0.001,1.5,186,1100,0.74,0.009,0.001,4.9,1540,5000,12700,1.79,0.031,74,0.001,8.6,11,35,90,0.5,22.5,0.3,1.7,0.0005,19000,38300,44500,6.37,6,0.01,0.5,0.0025,2400,18800,2.27,20.8,45,6.3,2.29,0.43,5890,13500,2.25,101,540,0.07,0.3,0.5,190,14700,13900,1.88,37,24.6,10,0.0005,516,610,0.14,1.8,0.76419,6,0.002,0.25,38,31,0.005,0.2,3.7,13,0.048,1.5,150,308700,66.06,4.9,50,7,19.5,250,0.25,0.7,0.005,10,10,1040,3830,0.64,0.25,47.7,5,5.4,2.9,31.5,111
227,570100,7620000,250,"RUS","NW",37,31,0.01,2.5,16200,85400,16.14,0.5,0.25,2.88083,0.006,1.5,109,780,0.23,0.017,0.001,6.5,850,5000,11300,1.59,0.025,81,0.003,9.3,13,30.7,110,0.5,24.6,0.32,1.8,0.0005,20700,47700,48600,6.96,8,0.01,0.5,0.0025,2100,17200,2.08,20,49,5.4,1.95,0.57,4900,13800,2.29,157,540,0.07,0.2,0.5,130,13100,11500,1.56,33,28.7,10,0.0005,230,300,0.07,1.6,0.77473,6,0.002,0.25,34,29,0.017,0.3,4.9,16,0.046,1.5,130,312300,66.82,5.3,50,6,12.3,250,1.1,0.25,0.027,9,9.3,806,4370,0.73,0.25,40.4,0.5,7.1,3.5,33.1,100
228,452569,7400000,180,"FIN","FLAT",48,7,0.003,2.5,1840,64900,12.28,0.1,0.25,0.33119,0.001,1.5,8.6,850,0.13,0.008,0.001,2.1,1170,5000,11100,1.56,0.008,41,0.001,1.9,3,11.7,24,0.5,2.2,0.2,0.8,0.0005,9680,14400,13700,1.96,6,0.01,0.5,0.0025,300,27300,3.3,16.7,23,2.2,0.47,0.22,660,2100,0.36,53.1,150,0.02,0.1,0.5,70,30800,25600,3.46,19,3.1,10,0.0005,354,340,0.08,1.8,0.71778,5.8,0.002,0.63047,110,7,0.014,0.3,0.8,3.3,0.013,1.5,100,352200,75.37,2.4,50,1,2.9,250,0.25,0.25,0.005,12,9.1,375,1670,0.28,1,19.4,0.5,5,1.2,3.7,25
229,439975,7390000,115,"FIN","SW",36,7,0.007,2.5,5480,65800,12.44,0.6,0.25,0.2447,0.003,1.5,34.4,970,0.21,0.01,0.001,0.25,1800,5000,12400,1.74,0.01,51,0.001,5.5,7,26.1,54,0.5,10.5,0.32,0.9,0.0005,15300,24300,18000,2.58,6,0.01,0.5,0.0025,1300,27000,3.26,17.3,28,5.3,0.94,0.19,2740,4700,0.78,106,230,0.03,0.1,0.5,120,28000,24400,3.3,17,10.3,10,0.0005,492,390,0.09,1.6,0.72711,5.7,0.002,0.25,100,22,0.005,0.05,2,5.9,0.033,1.5,110,346200,74.09,2.7,50,4,5.3,700,0.25,0.25,0.0015,10,12,878,2150,0.36,2.1,33.8,0.5,4.9,1,11.6,25
230,679990,7530000,220,"RUS","SW",40,1,0.038,2.5,25100,83200,15.73,1.2,4,0.36463,0.001,3,55,560,0.37,0.05,0.001,2.9,1270,20000,22300,3.13,0.024,33,0.005,8.7,14,32.3,100,1,20.1,0.3,0.9,0.0005,19500,34700,33000,4.73,6,0.03,0.5,0.0025,1300,14600,1.76,11.7,16,25.4,4.14,0.24,4430,10400,1.74,160,460,0.06,0.2,0.5,140,25900,24400,3.29,14,23.1,10,0.0005,346,340,0.08,1.7,1.00175,5.7,0.002,0.25,51,122,0.039,0.2,3.2,10,0.116,1.5,150,299600,64.12,2.3,50,1,6.3,250,0.25,0.25,0.016,8,7,1230,3170,0.53,0.25,37,0.5,3.5,1.6,43,71
231,706353,7650000,200,"RUS","NW",48,21,0.011,2.5,6970,78200,14.78,0.2,0.25,0.55532,0.001,1.5,56.8,680,0.16,0.03,0.001,7.6,3420,50000,32900,4.61,0.026,50,0.001,7.7,17,28.6,130,1,20.5,0.28,1.4,0.0005,12500,42300,39300,5.63,6,0.01,0.5,0.0025,1300,10700,1.3,10.8,20,8.3,1.42,0.37,3880,15900,2.64,150,690,0.09,0.1,0.5,260,31800,26700,3.6,23,19.8,60,0.0005,730,740,0.17,1,1.24813,5.7,0.002,0.8201,43,31,0.013,0.05,2.2,14,0.035,1.5,130,308500,66.01,3.6,50,6,14.2,600,0.25,0.5,0.016,5,3.9,740,3770,0.63,0.25,29.2,0.5,4.3,2.1,17.8,108
232,622775,7690000,180,"RUS","FLAT",25,21,0.011,2.5,5480,73900,13.97,0.2,0.25,2.41872,0.005,1.5,25.9,510,0.14,0.01,0.001,4.7,2530,30000,27200,3.81,0.024,41,0.001,4.3,12,13.3,71,0.5,11.2,0.25,1.4,0.0005,9290,37900,32900,4.71,6,0.01,0.5,0.0025,600,9900,1.2,10.9,22,3.2,0.94,0.44,2080,10500,1.75,122,610,0.08,0.1,0.5,210,28200,25800,3.49,17,9.5,10,0.0005,522,610,0.14,1.1,0.74871,5.6,0.002,0.25,38,23,0.005,0.05,2.1,15,0.04,1.5,150,322300,68.96,3.6,50,5,7.5,250,0.25,0.6,0.009,4,4.2,530,2990,0.5,0.25,21,0.5,4.4,2.9,16,133
233,733318,7440000,100,"RUS","SW",60,1,0.01,2.5,4420,69500,13.14,0.3,0.25,0.26042,0.001,1.5,44.1,410,0.09,0.013,0.001,4,1340,20000,19900,2.79,0.015,26,0.002,3.9,7,19.4,62,0.5,6.5,0.38,0.5,0.0005,6470,15200,13900,1.99,2,0.01,0.5,0.0025,1700,11400,1.38,7.3,8.2,8.6,0.97,0.1,2400,5700,0.96,54.6,230,0.03,0.1,4,80,28700,26200,3.54,10,13.8,10,0.0005,330,260,0.06,0.9,1.00368,5.9,0.002,0.25,54,23,0.005,0.05,1.4,4.8,0.032,1.5,130,341100,72.98,1.3,50,3,3.8,250,0.25,0.25,0.008,3,2.3,478,1070,0.18,0.25,15.3,0.5,2.8,0.5,13.9,52
234,695359,7460000,170,"RUS","NW",40,1,0.006,2.5,5210,72100,13.64,0.2,0.25,0.18627,0.001,1.5,33.2,380,0.1,0.023,0.001,4.7,790,30000,24000,3.37,0.014,39,0.001,5.5,16,20,300,0.5,12.6,0.22,0.7,0.0005,8640,31300,24600,3.53,3,0.01,0.5,0.0025,1300,8900,1.08,4.7,23,7.7,0.95,0.17,2260,14500,2.41,85.6,460,0.06,0.1,0.5,70,27500,27000,3.65,13,22,10,0.0005,174,170,0.04,1.1,0.96192,5.6,0.002,0.76665,42,18,0.005,0.05,1.3,10,0.1,1.5,250,325600,69.68,1.7,50,2,2.2,250,0.25,0.25,0.012,3,8.2,466,1550,0.26,0.25,13.7,0.5,1.2,1.2,14.9,56
235,494700,7790000,260,"NOR","SW",42,10,0.008,2.5,5690,68700,12.99,0.3,0.25,0.71715,0.001,1.5,29.6,550,0.14,0.011,0.001,4.5,1290,20000,17500,2.46,0.019,45,0.003,3.9,10,12,72,0.5,13.9,0.68,1.4,0.0005,10500,42100,40400,5.79,6,0.01,0.5,0.0025,500,11200,1.35,8.4,25,4.2,1.3,0.56,2090,12600,2.09,83.1,690,0.09,0.1,0.5,120,19400,17700,2.39,17,9.5,10,0.0005,311,340,0.08,2.1,0.51485,5.9,0.002,0.69022,16,31,0.005,0.05,1.7,17,0.067,1.5,190,334700,71.62,3.4,50,1,5.4,250,0.25,0.8,0.023,5,5,352,2810,0.47,0.25,22.8,0.5,3.6,3.8,17.7,114
236,423789,7860000,42,"NOR","SE",80,10,0.009,2.5,15700,77700,14.68,3.3,5.3,0.66447,0.001,1.5,85.3,660,0.3,0.16,0.001,33,1680,20000,11500,1.61,0.02,110,0.004,8.9,10,20.8,38,4,19.7,0.49,2,0.0005,24900,32700,30400,4.36,12,0.02,0.5,0.0025,6400,22600,2.73,30.6,55,21.6,3.07,0.96,5610,6100,1.02,181,690,0.09,0.1,2,80,17300,15800,2.13,41,14.8,10,0.0005,795,780,0.18,4.9,0.31711,5.4,0.002,0.25,110,70,0.029,0.05,4,11,0.231,1.5,130,317200,67.87,7.9,50,9,4.2,250,0.25,1.1,0.016,17,18,1840,3770,0.63,4.7,35,0.5,13.1,6.2,52,94
237,844527,7610000,170,"RUS","N",50,20,0.007,2.5,29000,101000,19.1,0.6,0.25,0.58346,0.003,1.5,136,320,0.37,0.033,0.001,0.25,2890,30000,37800,5.3,0.047,50,0.004,20.7,17,96.5,110,2,7.1,0.29,0.9,0.0005,39400,44500,54600,7.82,5,0.01,0.5,0.0025,8600,15200,1.84,20.9,31,30.4,3.11,0.11,15900,14800,2.46,212,540,0.07,0.1,0.5,70,40000,30800,4.16,22,64.6,10,0.0005,188,300,0.07,1.8,0.84931,5.7,0.002,0.81139,70,15,0.005,0.3,2.8,13,0.036,1.5,110,257100,55.01,3,50,5,38.2,250,0.25,0.25,0.008,16,11,1870,5450,0.91,2.7,39.7,0.5,3.1,0.6,38.9,25
238,583516,7520000,255,"FIN","FLAT",52,1,0.005,2.5,20600,73800,13.95,1.2,2,1.80884,0.001,1.5,42.8,620,0.4,0.18,0.001,4,730,20000,13900,1.95,0.016,33,0.001,8.2,11,48.3,110,1,13.7,0.26,0.8,0.0005,17200,26300,26800,3.84,5,0.02,0.5,0.0025,1100,17000,2.05,12.7,17,17.2,2.91,0.2,4170,9700,1.62,137,380,0.05,0.1,5,80,23600,22400,3.02,14,25.8,10,0.0005,162,170,0.04,1.7,0.88437,5.8,0.002,0.67514,58,32,0.025,0.05,2.8,8.3,0.086,1.5,140,320200,68.51,2.2,50,3,6.6,250,0.25,0.25,0.018,8,6.3,1090,2870,0.48,1.8,37.4,0.5,3.5,1.3,26.6,25
